Talk to Me,Horror/Thriller,When a group of friends discover how to conjure spirits using an embalmed hand they become hooked on the new thrill until one of them goes too far and unleashes terrifying supernatural forces.,7.3/10,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/TalkToMe2022poster.jpg/220px-TalkToMe2022poster.jpg
Barbie,Adventure/Comedy/Fantasy,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,n/a,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Barbie_2023_poster.jpg/220px-Barbie_2023_poster.jpg
The Super Mario Bros. Movie,Adventure/Fantasy,With help from Princess Peach Mario gets ready to square off against the all-powerful Bowser to stop his plans from conquering the world.,7.2/10,https://upload.wikimedia.org/wikipedia/en/4/44/The_Super_Mario_Bros._Movie_poster.jpg
John Wick: Chapter 4,Action/Neo-noir,With the price on his head ever increasing legendary hit man John Wick takes his fight against the High Table global as he seeks out the most powerful players in the underworld from New York to Paris to Japan to Berlin.,8.1/10,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/John_Wick_-_Chapter_4_promotional_poster.jpg/220px-John_Wick_-_Chapter_4_promotional_poster.jpg
Evil Dead Rise,Horror/Fantasy,A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.,6.8/10,https://upload.wikimedia.org/wikipedia/en/thumb/9/98/EvilDeadRiseTeaser.jpg/220px-EvilDeadRiseTeaser.jpg
Avatar: The Way of Water,Sci-fi/Action,Jake Sully and Ney'tiri have formed a family and are doing everything to stay together. However they must leave their home and explore the regions of Pandora. When an ancient threat resurfaces Jake must fight a difficult war against the humans.,7.7/10,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Avatar_The_Way_of_Water_poster.jpg/220px-Avatar_The_Way_of_Water_poster.jpg
Cocaine Bear,Thriller/Comedy,After a 500-pound black bear consumes a significant amount of cocaine and embarks on a drug-fueled rampage an eccentric gathering of cops criminals tourists and teenagers assemble in a Georgia forest.,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Cocaine_Bear_poster.jpg/220px-Cocaine_Bear_poster.jpg
Shazam! Fury of the Gods,Action/Fantasy,Bestowed with the powers of the gods Billy Batson and his fellow foster kids are still learning how to juggle teenage life with their adult superhero alter egos. When a vengeful trio of ancient gods arrives on Earth in search of the magic stolen from them long ago Shazam and his allies get thrust into a battle for their superpowers their lives and the fate of the world.,6/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Shazam%21_Fury_of_the_Gods_%282023%29_Main_Poster.png/220px-Shazam%21_Fury_of_the_Gods_%282023%29_Main_Poster.png
Fall,Thriller/Survival,For best friends Becky and Hunter life is all about conquering fears and pushing limits. However after they climb 2000 feet to the top of a remote abandoned radio tower they find themselves stranded with no way down. Now their expert climbing skills are put to the ultimate test as they desperately fight to survive the elements a lack of supplies and vertigo-inducing heights,6.4/10,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Fall_%282022_film%29.jpg/220px-Fall_%282022_film%29.jpg
The Batman,Action/Crime,Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrator's plans become clear he must forge new relationships unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.,7.8/10,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/The_Batman_%28film%29_poster.jpg/220px-The_Batman_%28film%29_poster.jpg
